socks4://200.43.231.17:4145,AR,Ober?
socks4://138.186.155.1:1085,AR,Unknown
socks4://181.209.59.59:1080,AR,Unknown
http://186.65.109.21:443,AR,Unknown
http://209.13.186.20:443,AR,Unknown
http://45.65.227.97:999,AR,Unknown
http://190.111.218.141:999,AR,Unknown
http://190.111.218.139:999,AR,Unknown
http://190.122.88.116:6969,AR,Unknown
http://138.121.113.179:999,AR,Unknown
http://200.70.35.2:8080,AR,Unknown
http://45.232.152.2:8080,AR,Unknown
http://186.65.109.21:81,AR,Unknown
http://181.13.20.102:999,AR,Unknown
