socks4://31.13.239.4:5678,BG,Plovdiv
socks4://213.149.156.87:5678,BG,Razlog
https://46.10.214.92:443,BG,Sofia
https://91.92.250.33:443,BG,Levski
https://94.155.48.4:443,BG,Burgas
http://109.199.119.160:80,BG,Unknown
socks4://46.10.198.10:4153,BG,Sofia
http://213.169.33.8:8001,BG,Unknown
socks5://31.211.142.115:8192,BG,Pleven
http://87.126.65.11:1388,BG,Unknown
socks5://94.156.180.119:1088,BG,Unknown
socks5://94.156.114.45:1080,BG,Nesebar
http://213.149.156.87:5678,BG,Razlog
http://138.124.54.3:1080,BG,Sofia
http://151.237.84.9:8080,BG,Kardzhali
http://45.133.251.223:1080,BG,Sofia
http://46.10.209.230:8080,BG,Sofia
http://78.128.124.108:5678,BG,Devin
http://85.217.192.39:1414,BG,Sistov
http://94.156.114.146:8899,BG,Nesebar
http://85.187.224.21:8080,BG,Kardzhali
http://77.85.171.92:4153,BG,Asenovgrad
http://5.104.174.199:23500,BG,Dobrich
http://92.247.12.136:9510,BG,Sofia
http://77.238.79.111:8080,BG,Sofia
http://213.169.33.3:8001,BG,Unknown
http://213.169.33.10:8001,BG,Unknown
