socks4://186.1.182.194:4153,CO,Santa Marta
http://45.173.12.141:1994,CO,Unknown
http://209.14.98.5:8080,CO,Unknown
http://186.96.111.214:999,CO,Unknown
http://131.100.48.73:999,CO,Unknown
http://177.93.59.71:999,CO,Unknown
http://177.93.59.66:999,CO,Unknown
http://190.60.60.35:8080,CO,Unknown
http://181.119.84.120:8080,CO,Unknown
http://190.60.61.42:8080,CO,Unknown
http://186.31.135.203:999,CO,Unknown
http://186.31.135.205:999,CO,Unknown
http://186.31.135.204:999,CO,Unknown
http://38.199.26.146:999,CO,Unknown
http://38.199.66.58:999,CO,Unknown
http://190.121.151.17:999,CO,Unknown
http://38.199.66.59:999,CO,Unknown
http://8.243.68.11:8080,CO,Unknown
http://190.109.6.121:999,CO,Unknown
http://190.109.6.113:999,CO,Unknown
http://190.109.6.115:999,CO,Unknown
http://38.191.42.202:999,CO,Unknown
http://179.1.48.39:8080,CO,Unknown
http://188.114.96.0:80,CO,Medell?n
http://188.114.97.7:80,CO,Medell?n
http://188.114.98.138:80,CO,Medell?n
