socks5://194.163.167.32:1080,FR,Lauterbourg
socks5://185.194.217.97:1080,FR,Unknown
socks5://37.120.162.180:30353,FR,Unknown
socks5://37.120.162.180:52719,FR,Unknown
socks5://37.120.162.180:13001,FR,Unknown
socks5://37.120.162.180:12811,FR,Unknown
socks5://37.120.162.180:33485,FR,Unknown
socks5://37.120.162.180:10705,FR,Unknown
socks5://36.255.98.184:15549,FR,Unknown
socks5://62.60.131.178:7823,FR,Unknown
http://51.38.191.151:443,FR,Unknown
http://144.91.90.109:443,FR,Unknown
http://89.117.55.119:443,FR,Unknown
http://51.254.213.34:443,FR,Unknown
http://62.138.18.91:443,FR,Unknown
http://130.180.208.145:443,FR,Unknown
http://51.83.190.248:443,FR,Unknown
http://162.19.49.131:443,FR,Unknown
http://94.23.9.170:443,FR,Unknown
http://212.83.168.126:8081,FR,Unknown
http://5.189.184.6:443,FR,Unknown
http://51.159.28.39:443,FR,Unknown
http://163.172.53.142:443,FR,Unknown
http://163.172.167.48:443,FR,Unknown
http://212.47.232.28:443,FR,Unknown
http://173.249.37.45:5006,FR,Unknown
http://78.153.225.20:443,FR,Unknown
http://37.187.109.70:10111,FR,Unknown
http://205.237.104.203:3128,FR,Unknown
http://193.248.233.38:80,FR,Unknown
http://40.89.145.14:80,FR,Unknown
http://91.172.54.203:80,FR,Unknown
http://141.253.118.174:80,FR,Unknown
http://202.133.88.173:80,FR,Paris
http://173.212.246.157:3128,FR,Unknown
http://185.169.252.215:3128,FR,Unknown
http://176.57.189.138:3128,FR,Unknown
http://51.159.66.158:3128,FR,Unknown
http://207.180.254.198:8080,FR,Unknown
http://51.83.139.36:443,FR,Unknown
http://173.245.49.134:80,FR,Paris
http://62.210.215.36:80,FR,
http://173.245.49.141:80,FR,Paris
http://173.245.49.218:80,FR,Paris
http://173.245.49.30:80,FR,Paris
http://173.245.49.219:80,FR,Paris
http://173.245.49.109:80,FR,Paris
http://173.245.49.179:80,FR,Paris
http://173.245.49.99:80,FR,Paris
http://173.245.49.171:80,FR,Paris
http://173.245.49.222:80,FR,Paris
http://173.245.49.242:80,FR,Paris
http://173.245.49.185:80,FR,Paris
http://173.245.49.26:80,FR,Paris
http://173.245.49.217:80,FR,Paris
http://173.245.49.27:80,FR,Paris
http://173.245.49.126:80,FR,Paris
socks4://62.133.62.12:1081,FR,Paris
http://173.245.49.240:80,FR,Paris
http://173.245.49.195:80,FR,Paris
