socks4://115.23.88.118:56452,KR,Gwangsan-gu
http://1.234.23.159:443,KR,Unknown
http://221.153.92.39:443,KR,Unknown
http://61.79.72.201:443,KR,Unknown
http://61.79.72.201:80,KR,Unknown
http://218.236.166.96:8888,KR,Unknown
http://211.197.77.76:3032,KR,Unknown
http://221.147.183.208:3128,KR,Unknown
http://121.177.104.201:3072,KR,Unknown
http://221.161.204.152:3032,KR,Unknown
http://175.215.148.171:3064,KR,Unknown
http://121.177.104.201:3160,KR,Unknown
http://175.215.184.101:3030,KR,Unknown
http://221.153.92.39:80,KR,Yongin-si
socks5://121.169.46.116:1090,KR,Osan
