socks5://213.35.126.34:10808,SG,Kampong Loyang
http://184.168.123.21:443,SG,Unknown
http://128.199.207.200:443,SG,Unknown
http://154.26.139.232:443,SG,Unknown
http://128.199.195.19:8888,SG,Unknown
http://165.225.113.220:11703,SG,Unknown
http://47.241.70.64:8888,SG,Unknown
http://23.106.249.34:21125,SG,Unknown
http://23.106.249.54:6550,SG,Unknown
http://23.106.249.52:2569,SG,Unknown
http://165.225.113.220:11712,SG,Unknown
http://165.225.113.220:11692,SG,Unknown
http://97.74.87.226:80,SG,Singapore
http://18.139.174.181:80,SG,Unknown
http://159.223.32.95:8080,SG,Unknown
http://52.76.250.62:80,SG,Unknown
http://8.219.55.116:80,SG,Unknown
http://68.183.180.48:444,SG,Unknown
http://15.235.192.85:80,SG,Unknown
http://178.128.216.110:3128,SG,Unknown
http://206.238.237.250:80,SG,Singapore
http://8.219.77.141:80,SG,
