socks5://125.24.156.113:7080,TH,Trang
socks4://113.53.91.26:4153,TH,Chon Buri
socks4://125.25.82.207:5678,TH,Khlong Thom
socks4://1.179.172.45:31225,TH,Bangkok
socks4://159.192.97.129:5678,TH,Rayong
socks4://182.53.216.73:4145,TH,Tha Tako
socks4://118.174.14.65:44336,TH,Sena
socks4://180.183.149.236:5678,TH,Chiang Mai
socks4://171.4.85.65:5678,TH,Rayong
https://103.40.138.14:443,TH,Pattaya
socks4://1.179.151.165:31948,TH,Changwat Sara Buri
socks4://159.192.121.240:4145,TH,Bangkok
http://58.136.100.104:8080,TH,Chiang Mai
http://1.4.198.212:8080,TH,Nakhon Ratchasima
http://203.146.80.98:8080,TH,Unknown
http://203.150.128.8:8080,TH,Unknown
socks5://8.213.215.187:2000,TH,Bangkok
socks5://8.213.215.187:1080,TH,Bangkok
socks5://8.213.215.187:8081,TH,Bangkok
socks5://8.213.222.157:8119,TH,Bangkok
socks5://8.213.222.157:3129,TH,Bangkok
socks5://8.213.195.191:80,TH,Bangkok
socks5://8.213.195.191:9080,TH,Bangkok
socks5://8.213.195.191:8080,TH,Bangkok
http://110.164.128.124:8080,TH,Chiang Mai
http://171.5.187.180:8080,TH,Bangkok
http://223.205.202.183:8080,TH,Surat Thani
http://49.48.55.188:8080,TH,Bangkok
http://61.19.30.194:8188,TH,Bangkok
http://223.207.98.219:8080,TH,Udon Thani
http://43.229.79.252:8080,TH,Unknown
http://106.0.168.138:8080,TH,Unknown
http://182.52.229.165:8080,TH,Bangkok
http://203.172.201.226:8080,TH,Unknown
http://124.121.5.189:8080,TH,Buriram
http://116.204.182.120:80,TH,Nakhon Si Thammarat
http://124.121.2.248:8080,TH,Bangkok
http://43.229.79.227:8080,TH,Unknown
http://49.48.81.71:8080,TH,Nakhon Ratchasima
http://184.82.139.28:8081,TH,Pattaya
http://223.207.103.175:8080,TH,Loei
http://180.183.202.53:8080,TH,Chiang Mai
http://49.48.81.115:8080,TH,Nakhon Ratchasima
http://8.213.195.191:9080,TH,Bangkok
http://8.213.197.208:3128,TH,Bangkok
http://203.150.113.171:8080,TH,Kalasin
http://8.213.197.208:8008,TH,Bangkok
http://43.229.79.231:8080,TH,Unknown
http://183.88.184.48:8080,TH,Bangkok
http://8.213.215.187:443,TH,Bangkok
http://203.172.120.179:1080,TH,Bangkok
http://202.29.215.78:8080,TH,Surin
http://182.53.143.200:8180,TH,Si Prachan
http://1.10.141.115:8080,TH,Lat Bua Luang
http://8.213.215.187:8081,TH,Bangkok
http://118.174.65.27:8080,TH,Ban Min Buri
http://103.30.127.22:18081,TH,Unknown
http://8.213.215.187:9098,TH,Bangkok
http://1.179.148.9:55636,TH,Changwat Sara Buri
http://124.120.107.206:8080,TH,Bangkok
