socks4://125.228.143.207:4145,TW,New Taipei City
socks4://125.228.94.232:4145,TW,Taipei
http://211.72.236.159:443,TW,Unknown
http://193.42.43.36:443,TW,Unknown
http://47.243.181.85:41129,TW,Unknown
http://47.243.181.85:41305,TW,Unknown
http://47.243.181.85:41315,TW,Unknown
http://59.126.240.138:8886,TW,Unknown
http://47.243.181.85:55004,TW,Unknown
http://47.243.181.85:55017,TW,Unknown
http://47.243.181.85:41314,TW,Unknown
http://47.243.181.85:41306,TW,Unknown
http://47.243.181.85:41290,TW,Unknown
http://47.243.181.85:41133,TW,Unknown
http://47.243.181.85:42536,TW,Unknown
http://47.243.181.85:41309,TW,Unknown
http://47.243.181.85:41294,TW,Unknown
http://47.243.181.85:55011,TW,Unknown
http://47.243.181.85:41317,TW,Unknown
http://47.243.181.85:41304,TW,Unknown
http://47.243.181.85:55005,TW,Unknown
http://47.243.181.85:41295,TW,Unknown
http://47.243.181.85:55015,TW,Unknown
http://47.243.181.85:55006,TW,Unknown
http://47.243.181.85:41316,TW,Unknown
socks4://125.228.94.153:4145,TW,Taipei
