socks4://160.226.220.30:1080,ZA,Bloemfontein
socks4://105.214.51.155:5678,ZA,Johannesburg
socks4://105.214.67.202:5678,ZA,Johannesburg
https://129.151.160.199:443,ZA,Johannesburg
https://196.21.61.67:443,ZA,Durban
https://196.21.109.82:443,ZA,Pretoria
https://196.21.187.115:443,ZA,Nelspruit
https://196.21.60.44:443,ZA,Durban
https://45.220.173.35:443,ZA,Strand
https://41.77.155.164:443,ZA,Cape Town
https://45.220.232.12:443,ZA,Cape Town
https://198.54.223.176:443,ZA,Unknown
http://41.57.63.1:8104,ZA,Secunda
http://196.216.132.35:8080,ZA,Jan Kempdorp
http://206.238.236.92:80,ZA,Midrand
http://206.238.236.248:80,ZA,Midrand
socks4://105.214.104.26:5678,ZA,Johannesburg
http://196.223.129.21:80,ZA,Cape Town
socks4://38.54.63.7:1080,ZA,Johannesburg
socks5://168.253.92.93:10808,ZA,Middelburg
socks5://102.36.127.231:1080,ZA,Nelspruit
socks5://102.36.127.249:1080,ZA,Nelspruit
http://105.22.37.218:8080,ZA,Johannesburg
http://196.251.213.192:8081,ZA,Brits
http://102.66.6.56:9999,ZA,Port Elizabeth
http://160.124.240.188:39771,ZA,Unknown
http://102.39.133.233:8080,ZA,East London
http://41.78.38.197:8005,ZA,Krugersdorp
http://102.214.147.147:4153,ZA,Jeffreys Bay
http://196.47.63.65:8080,ZA,Unknown
http://196.15.250.17:4153,ZA,Christiana
http://41.216.191.186:8080,ZA,Unknown
http://105.214.67.202:5678,ZA,Johannesburg
http://165.165.178.142:4153,ZA,Springbok
http://105.214.104.26:5678,ZA,Johannesburg
http://105.214.51.155:5678,ZA,Johannesburg
http://102.164.212.90:8080,ZA,Ladysmith
http://102.66.161.31:8888,ZA,Nelspruit
http://102.66.161.10:8888,ZA,Nelspruit
http://196.251.221.33:8080,ZA,Brits
http://154.117.154.194:8080,ZA,Havenside
