socks4://192.111.129.150:4145,CA,North York
socks4://98.170.57.241:4145,US,
socks4://68.71.252.38:4145,US,
socks4://72.207.109.5:4145,US,San Diego
socks4://98.188.47.150:4145,US,
socks4://68.71.249.153:48606,,
socks4://67.201.59.70:4145,US,Garden Grove
socks4://68.71.241.33:4145,US,
socks4://67.201.39.14:4145,US,
socks4://67.201.58.190:4145,US,
socks4://74.119.144.60:4145,US,
socks4://51.15.205.29:16379,FR,
socks4://141.94.70.195:46797,FR,
socks4://95.43.244.15:4153,BG,Kazanlak
socks4://67.201.33.10:25283,US,Pico Rivera
socks4://69.61.200.104:36181,US,Cincinnati
socks4://51.158.70.223:16379,FR,Paris
socks4://37.187.29.43:17612,FR,
socks4://68.71.247.130:4145,,
socks4://68.71.242.118:4145,US,
socks4://68.71.251.134:4145,US,
socks4://98.175.31.195:4145,US,Norfolk
socks4://134.199.159.23:1080,US,
socks4://66.42.224.229:41679,,
socks4://72.195.34.35:27360,US,
socks4://98.170.57.249:4145,US,
socks4://74.119.147.209:4145,US,
socks4://72.195.34.58:4145,US,
socks4://70.166.167.55:57745,US,
socks4://72.37.217.3:4145,US,
socks4://67.201.35.145:4145,US,
socks4://68.71.240.210:4145,US,
socks4://139.59.24.173:1080,IN,Bengaluru
socks4://98.190.239.3:4145,US,Wichita
socks4://57.129.81.201:1080,DE,Frankfurt am Main
socks4://98.178.72.21:10919,US,
socks4://68.71.243.14:4145,US,
socks4://72.211.46.99:4145,US,Irvine
socks4://94.72.158.129:4153,BG,
socks4://212.47.243.66:16379,FR,
socks4://37.238.168.253:5678,IQ,Karbala
socks4://98.188.47.132:4145,US,
socks4://202.144.134.150:5678,BT,
socks4://34.124.190.108:8080,SG,Singapore
socks4://72.37.216.68:4145,US,
socks4://68.71.245.206:4145,US,
socks4://37.18.73.60:5566,RU,
socks4://98.170.57.231:4145,US,
socks4://98.181.137.80:4145,US,Las Vegas
socks4://98.191.0.37:4145,US,Chandler
socks4://68.71.249.158:4145,US,
socks4://72.195.101.99:4145,US,
socks4://195.219.98.27:5678,,
socks4://80.65.80.230:5678,BA,Sarajevo
socks4://177.66.43.189:4145,BR,Porto Lucena
socks4://76.81.6.107:31008,US,Los Angeles
socks4://91.223.52.141:5678,,
socks4://77.65.50.118:34159,PL,Gniezno
socks4://109.248.236.150:60606,KZ,Kostanay
socks4://72.205.0.67:4145,US,Fredericksburg
socks4://70.166.167.38:57728,US,
socks4://51.178.68.226:46753,FR,
socks4://31.128.41.253:18080,RU,St Petersburg
socks4://68.71.254.6:4145,,
socks4://190.104.8.142:14888,BO,Santa Cruz
socks4://72.195.114.169:4145,US,
socks4://202.166.196.105:48293,NP,Kathmandu
socks4://83.56.15.57:5678,ES,Madrid
socks4://125.228.94.199:4145,,
socks4://154.79.246.18:9898,KE,Nairobi
socks4://94.232.145.158:5678,PL,
socks4://103.80.210.116:5678,MN,Ulan Bator
socks4://177.91.255.35:5678,PE,Lima
socks4://82.137.250.156:4145,SY,
